Losses: 
152 of 468 | Loss: 0.1976497620344162
153 of 468 | Loss: 0.18793825805187225
154 of 468 | Loss: 0.20236651599407196
155 of 468 | Loss: 0.18404071033000946
156 of 468 | Loss: 0.18463782966136932
157 of 468 | Loss: 0.19612058997154236
158 of 468 | Loss: 0.21011486649513245
159 of 468 | Loss: 0.19495563209056854
160 of 468 | Loss: 0.17572352290153503
161 of 468 | Loss: 0.19112753868103027
162 of 468 | Loss: 0.19538044929504395
163 of 468 | Loss: 0.19083353877067566
164 of 468 | Loss: 0.19824787974357605
165 of 468 | Loss: 0.1916598081588745
166 of 468 | Loss: 0.17992977797985077
167 of 468 | Loss: 0.19541160762310028
168 of 468 | Loss: 0.19627749919891357
169 of 468 | Loss: 0.19300293922424316
170 of 468 | Loss: 0.18302719295024872
171 of 468 | Loss: 0.18441873788833618
172 of 468 | Loss: 0.173060804605484
173 of 468 | Loss: 0.17796143889427185
174 of 468 | Loss: 0.18741808831691742
175 of 468 | Loss: 0.18395984172821045
176 of 468 | Loss: 0.1834372580051422
177 of 468 | Loss: 0.18979232013225555
178 of 468 | Loss: 0.1981181800365448
179 of 468 | Loss: 0.18012794852256775
180 of 468 | Loss: 0.18560698628425598
181 of 468 | Loss: 0.17541103065013885
182 of 468 | Loss: 0.19075600802898407
183 of 468 | Loss: 0.1940605491399765
184 of 468 | Loss: 0.17974065244197845
185 of 468 | Loss: 0.16589121520519257
186 of 468 | Loss: 0.18272815644741058
187 of 468 | Loss: 0.18151819705963135
188 of 468 | Loss: 0.1835681051015854
189 of 468 | Loss: 0.18646518886089325
190 of 468 | Loss: 0.1768854856491089
191 of 468 | Loss: 0.17737269401550293
192 of 468 | Loss: 0.16732589900493622
193 of 468 | Loss: 0.1727851927280426
194 of 468 | Loss: 0.17100483179092407
195 of 468 | Loss: 0.18457326292991638
196 of 468 | Loss: 0.173750638961792
197 of 468 | Loss: 0.17119264602661133
198 of 468 | Loss: 0.1771460622549057
199 of 468 | Loss: 0.16586023569107056
